
-----------------------------------------------------------------------------
	######## CHOSEN CSMA TECHNIQUE IS : ONE PERSISTENT METHOD ########
-----------------------------------------------------------------------------


18/11/2021 20:59:01 CHANNEL has been initialised

18/11/2021 20:59:01 SENDER-3 starts sending data to RECEIVER3
18/11/2021 20:59:01 SENDER-4 starts sending data to RECEIVER4
18/11/2021 20:59:23 RECEIVER-4  ||  PACKET RECEIVED

18/11/2021 20:59:23 SENDER-2    ||  PACKET 8 SENT TO CHANNEL
18/11/2021 20:59:23 SENDER-1    ||  PACKET 8 SENT TO CHANNEL
18/11/2021 20:59:23 SENDER-4    ||  PACKET 6 SENT TO CHANNEL
18/11/2021 20:59:23 SENDER-3    ||  COLLISION
18/11/2021 20:59:23 SENDER-3    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:24 SENDER-3    ||  FOUND CHANNEL BUSY

18/11/2021 20:59:24 RECEIVER-2  ||  PACKET RECEIVED

18/11/2021 20:59:24 SENDER-1    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:24 SENDER-2    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:24 SENDER-4    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:24 SENDER-3    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:25 SENDER-1    ||  FOUND CHANNEL BUSY

18/11/2021 20:59:25 RECEIVER-1  ||  PACKET RECEIVED

18/11/2021 20:59:25 SENDER-4    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:25 SENDER-3    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:25 SENDER-1    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:25 SENDER-2    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:25 SENDER-4    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:25 SENDER-3    ||  FOUND CHANNEL BUSY

18/11/2021 20:59:26 RECEIVER-4  ||  PACKET RECEIVED

18/11/2021 20:59:26 SENDER-2    ||  PACKET 9 SENT TO CHANNEL
18/11/2021 20:59:26 SENDER-4    ||  PACKET 7 SENT TO CHANNEL
18/11/2021 20:59:26 SENDER-3    ||  COLLISION
18/11/2021 20:59:26 SENDER-3    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:27 SENDER-3    ||  FOUND CHANNEL BUSY

18/11/2021 20:59:27 RECEIVER-2  ||  PACKET RECEIVED

18/11/2021 20:59:27 SENDER-1    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:27 SENDER-4    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:27 SENDER-3    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:27 SENDER-1    ||  FOUND CHANNEL BUSY

18/11/2021 20:59:28 RECEIVER-1  ||  PACKET RECEIVED

18/11/2021 20:59:28 SENDER-4    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:28 SENDER-3    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:28 SENDER-1    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:28 SENDER-2    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:28 SENDER-4    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:28 SENDER-3    ||  FOUND CHANNEL BUSY

18/11/2021 20:59:28 RECEIVER-4  ||  PACKET RECEIVED

18/11/2021 20:59:28 SENDER-2    ||  PACKET 10 SENT TO CHANNEL
18/11/2021 20:59:28 SENDER-1    ||  PACKET 10 SENT TO CHANNEL
18/11/2021 20:59:29 SENDER-4    ||  PACKET 8 SENT TO CHANNEL
18/11/2021 20:59:29 SENDER-3    ||  COLLISION
18/11/2021 20:59:29 SENDER-3    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:29 SENDER-3    ||  FOUND CHANNEL BUSY

18/11/2021 20:59:29 RECEIVER-2  ||  PACKET RECEIVED

18/11/2021 20:59:30 SENDER-1    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:30 SENDER-4    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:30 SENDER-3    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:30 SENDER-2    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:30 SENDER-1    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:30 SENDER-4    ||  FOUND CHANNEL BUSY

18/11/2021 20:59:30 RECEIVER-1  ||  PACKET RECEIVED

18/11/2021 20:59:30 SENDER-3    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:31 SENDER-1    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:31 SENDER-4    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:31 SENDER-3    ||  FOUND CHANNEL BUSY

18/11/2021 20:59:31 RECEIVER-4  ||  PACKET RECEIVED

18/11/2021 20:59:31 SENDER-2    ||  PACKET 11 SENT TO CHANNEL
18/11/2021 20:59:31 SENDER-4    ||  PACKET 9 SENT TO CHANNEL
18/11/2021 20:59:31 SENDER-3    ||  COLLISION
18/11/2021 20:59:31 SENDER-3    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:32 SENDER-3    ||  FOUND CHANNEL BUSY

